Umiejscowienie;Treść;Uwagi;Propozycja zmiany;
"Zakładka ""Moduły"" pod tekstem ""moduł transakcyjny""";Kompleksowa obsługa wszystkich metod płatności w jednym miejscu;Sformułowanie może sugerować świadczenie usług płatniczych.;Integracja i zarządzanie wszystkimi metodami płatności lub Jeden system do integracji i zarządzania wszystkimi metodami płatności w jednym miejscu.;
"Zakładka ""Moduły| pod tekstem ""Moduł krypto""";Umożliwia kompleksową obsługę operacji związanych z aktywami cyfrowymi. Pozwala na bezpieczne depozyty i wypłaty kryptowalut, sprawną wymianę walut cyfrowych oraz generowanie i zarządzanie portfelami dla klientów.;"Sformułowanie bezpośrednio sugeruje możliwość wykonywania czynności wymagających wpisu do rejestru działalności w zakresie walut wirtualnych, a od 1 lipca 2026 r. zezwolenia KNF. Może zostać odebrane jako obietnica wykonywania usług kryptowalutowych bez zezwolenia.
Brak szerszego odniesienia na stronie do funkcji QonnectOne w tym przedmiocie (w zakresie technologicznym) - warto rozszerzyć informacje by pełniej zdefiniować rolę QonnectOne.";"W zależności od rzeczywistej funkcji:

Umożliwia kompleksowe zarządzanie danymi dotyczącymi aktywów cyfrowych, w tym monitorowanie portfeli i przepływów kryptowalut w systemie.

lub

Umożliwia kompleksową integrację informacji o aktywach cyfrowych, w tym portfelach klientów i transakcjach w systemach zewnętrznych.

lub 

Zapewnia modułową obsługę informacji o aktywach cyfrowych, umożliwiając kontrolę i raportowanie danych klientów, bez przechowywania środków ani wykonywania transakcji.";
"Zakładka ""Moduły"" pod tekstem ""Moduł księgowy""";Umożliwia kompleksowe rozliczenia transakcji;Sformułowanie może sugerować świadczenie usług płatniczych.;Umożliwia kompleksowe rozliczenia transakcji we współpracy z certyfikowanymi operatorami;
"Zakładka ""Business Cases""";"Wprowadzenie

Krajowa Instytucja Płatnicza (KIP) X, posiadająca podstawową licencję na realizację przekazu płatniczego, stoi przed strategiczną decyzją o rozszerzeniu swojej oferty o nowe, kluczowe produkty, takie jak karty płatnicze i konta IBAN dla swoich klientów. Tradycyjna ścieżka rozwoju wiąże się z szeregiem wyzwań, w tym długotrwałym procesem regulacyjnym, znacznymi inwestycjami finansowymi i operacyjnymi.";Określenie potoczne, zupełnie nieodpowiadające ustawowemu katalogowi usług płatniczych;"Wprowadzenie

Krajowa Instytucja Płatnicza (KIP) X, posiadająca zezwolenie świadczenie usług przekazu pieniężnego, stoi przed strategiczną decyzją o rozszerzeniu swojej oferty o nowe, kluczowe produkty, takie jak karty płatnicze i konta IBAN dla swoich klientów. Tradycyjna ścieżka rozwoju wiąże się z szeregiem wyzwań, w tym długotrwałym procesem licencyjnym, znacznymi inwestycjami finansowymi i operacyjnymi.";
"Zakładka ""Business Cases""";Minimalizacja ryzyka;Niedookreślone pojęcie, które mogłoby potencjalnie wzbudzać wątpliwości w kontekście obietnicy gwarantowanego rezultatu. Warto rozważyć doprecyzowanie sformułowania:;Minimalizacja ryzyka awarii i błędów;
"Zakładka ""Business Cases""";"Partnerstwo z licencjonowaną instytucją
QonnectOne współpracuje z instytucjami nadzorowanymi, które posiadają już niezbędne, rozszerzone licencje na obsługę kart i kont IBAN.";Dość enigmatyczne określenie, niewskazujące na to, w jaki sposób w aspekcie regulacyjnym powiązane zostanie działanie obu KIP;Dodałbym kolejne zdanie po tym przywołanym. Współpraca odbywa się w modelu Payments as a service (PaaS) w formule outsourcingu.;
"Zakładka ""Business Cases""";"Długotrwały proces licencyjny

Złożenie wniosku do KNF o rozszerzenie licencji na nowe produkty to proces trwający kilkanaście miesięcy, wymagający przygotowania obszernej dokumentacji i spełnienia rygorystycznych wymogów regulacyjnych.";Sformułowania te mogą zostać zinterpretowane jako próba obejścia prawa lub negatywnego wpływu na postrzeganie wymogów prawnych, ale również jako nieuczciwa praktyka rynkowa.;"Złożony proces licencyjny

Złożenie wniosku o rozszerzenie licencji na nowe produkty to proces wymagający przygotowania obszernej dokumenacji i weryfikacji zgodności z określonymi regulacjami. Czas jego realizacji może wynosić nawet kilkanaście miesięcy. ";
"Zakładka ""Business Cases""";Instytucja Nadzorowana Y, posiadająca podstawową licencję na obrót kryptoaktywami, stoi w obliczu znaczących zmian regulacyjnych związanych z wejściem w życie dyrektywy MiCA (Markets in Crypto-Assets Regulation). Nowe przepisy wymagają uzyskania rozszerzonych licencji dla kontynuacji działalności, co stwarza poważne wyzwania operacyjne i strategiczne dla przedsiębiorstwa.;Tu w istocie chodzi o VASP uprawnioną na podstawie wpisu, a nie licencji do świadczenia usług w zakresie kryptoaktywów. Problem polega na tym, że kończy się okres przejściowy, nie ma ustawy i rodzi to ryzyko dla zachowania ciągłości świadczenia usług.;"Podkreślony fragment zmieniamy na ""VASP, wpisany do rejestru, (…)""";
"Zakładka ""Business Cases""";"Długotrwały proces licencyjny MiCA

Procedura uzyskania licencji zgodnej z MiCA może trwać od 6 do 18 miesięcy, wymagając kompleksowej dokumentacji i spełnienia rygorystycznych wymogów kapitałowych oraz operacyjnych.";Zmiana wordingu jak obok.;"Złożony proces licencyjny MICA

Uzyskanie wymaganego zezwolenia to złożony proces, który może potrwać od kilku do kilkunastu miesięcy, wymagający kompleksowej dokumentacji i spełnienia określonych wymogów kapitałowych oraz operacyjnych. ";
"Zakładka ""Business Cases""";"Partnerstwo z licencjonowanym depozytariuszem
Współpraca z instytucjami posiadającymi już licencje MiCA, umożliwiająca działalność pod ich parasolem regulacyjnym.";Znowu brak precyzyjnego określenia statusu regulacyjnego;"Partnerstwo z uprawnionym CASP
Współpraca z CASP posiadającymi już licencję zgodnie MiCA, umożliwiająca działalność pod ich parasolem regulacyjnym (formuła outsourcingu)";
O nas;"Jesteśmy QonnectOne, kompleksową platformą płatniczą SaaS, która rewolucjonizuje rynek, umożliwiając firmom niefinansowym i operatorom płatniczym natychmiastowe wzbogacenie swojej oferty o usługi bankowości wbudowanej (Embedded Banking).
";Wskazanie na platformę płatniczą może w sposób niezamierzony wskazywać na świadczenie przez QonnectOne usług płatniczych;"Jesteśmy QonnectOne, dostawcą rozwiązania technologicznego w formule SaaS, które rewolucjonizuje rynek, umożliwiając firmom niefinansowym i operatorom płatniczym natychmiastowe wzbogacenie swojej oferty o usługi bankowości wbudowanej (Embedded Banking).
";
